標的,名稱,價格,漲跌%,三線,RSI,MACD,均線,52W,PE,EPS,營收,量能,外資,評級,買入點,進場區間,止損
3017.TW,奇鋐,2945.0,9.89,三線多頭,86.6,↑,多頭排列,100%,PE:61.0,EPS:48.24,營收:128%,0.8x,,稍強★★,— 目前無買入信號,"$1,827.3 ~ $1,864.1","$1,886.6"
00631L.TW,元大台灣50正2,28.440000534057617,6.92,多空分歧,90.0,↑,多頭排列,100%,PE:--,EPS:--,營收:--,29.8x,,中性★,— 目前無買入信號,$17.9 ~ $18.2,$18.7
2330.TW,台積電,2185.0,5.05,三線多頭,86.4,↑,多頭排列,100%,PE:29.7,EPS:73.63,營收:35%,1.5x,,強勢★★★,— 目前無買入信號,"$1,710.8 ~ $1,745.2","$1,707.2"
2308.TW,台達電,2075.0,4.8,三線多頭,92.2,↑,多頭排列,98%,PE:89.6,EPS:23.17,營收:42%,1.0x,,稍強★★,— 目前無買入信號,"$1,276.4 ~ $1,302.1","$1,324.0"
GEV,GE Vernova,1149.530029296875,1.95,三線多頭,91.2,↑,多頭排列,96%,PE:33.6,EPS:34.26,營收:16%,1.0x,,稍強★★,— 目前無買入信號,$784.6 ~ $800.4,$782.8
00878.TW,國泰永續高股息,25.0,1.38,三線多頭,88.0,↑,多頭排列,96%,PE:17.4,EPS:--,營收:--,1.4x,,稍強★★,— 目前無買入信號,$21.0 ~ $21.5,$21.1
0056.TW,元大高股息,40.95000076293945,0.74,三線多頭,83.8,↑,多頭排列,92%,PE:16.4,EPS:--,營收:--,1.3x,,稍強★★,— 目前無買入信號,$35.4 ~ $36.1,$35.1
AMD,AMD,305.3299865722656,0.62,三線多頭,96.4,↑,多頭排列,98%,PE:117.4,EPS:2.60,營收:34%,0.9x,,稍強★★,— 目前無買入信號,$173.2 ~ $176.6,$187.1
2530.TW,華建,21.850000381469727,0.46,三線空頭,9.3,↓,空頭排列,4%,PE:11.0,EPS:1.99,營收:-91%,0.9x,,迴避,🎯 一條件滿足 — 待確認,$20.9 ~ $21.3,$20.8
00909.TW,國泰智能電動車ETF,42.9900016784668,0.3,多空分歧,95.5,↑,多頭排列,79%,PE:19.1,EPS:--,營收:--,2.3x,,中性★,— 目前無買入信號,$31.6 ~ $32.2,$32.1
00919.TW,群益台灣精選高息,23.5,0.21,偏多,71.7,↑,MA20上方,91%,PE:12.4,EPS:--,營收:--,1.0x,,稍強★★,— 目前無買入信號,$21.8 ~ $22.2,$21.3
00713.TW,元大高息低波,53.45000076293945,0.19,多空分歧,76.3,↑,MA20上方,88%,PE:16.3,EPS:--,營收:--,1.1x,,偏弱,— 目前無買入信號,$50.2 ~ $51.2,$49.1
3293.TWO,鈊象電子,753.0,-1.05,多空分歧,49.3,↓,MA20下方,40%,PE:19.9,EPS:37.82,營收:12%,0.8x,,偏弱,🎯 一條件滿足 — 待確認,$727.3 ~ $742.0,$709.1
MU,美光,481.7200012207031,-1.18,三線多頭,84.9,↑,多頭排列,97%,PE:22.7,EPS:21.20,營收:196%,1.3x,,稍強★★,— 目前無買入信號,$309.1 ~ $315.3,$302.1
TSM,台積電ADR,382.6600036621094,-1.23,三線多頭,72.3,↑,多頭排列,97%,PE:32.8,EPS:11.67,營收:35%,1.0x,,強勢★★★,— 目前無買入信號,$312.2 ~ $318.5,$304.4
NVDA,NVIDIA,199.63999938964844,-1.41,多空分歧,83.3,↑,MA20上方,89%,PE:40.8,EPS:4.89,營收:73%,0.6x,,中性★,— 目前無買入信號,$160.4 ~ $163.6,$159.3
2317.TW,鴻海,221.5,-1.56,多空分歧,82.0,↑,多頭排列,68%,PE:16.5,EPS:13.41,營收:22%,1.3x,,偏弱,— 目前無買入信號,$183.0 ~ $186.7,$181.9
6111.TWO,6111擎亞,47.79999923706055,-1.65,多空分歧,75.8,↑,MA20上方,33%,PE:--,EPS:-4.63,營收:98%,1.3x,,偏弱,— 目前無買入信號,$39.5 ~ $40.3,$38.7
LRCX,科林研發,258.55999755859375,-2.63,多空分歧,71.0,↑,MA20上方,93%,PE:48.8,EPS:5.30,營收:24%,1.1x,,中性★,— 目前無買入信號,$193.2 ~ $197.1,$192.6
00910.TW,第一金太空衛星,67.5,-3.5,多空分歧,70.8,↑,MA20上方,91%,PE:32.2,EPS:--,營收:--,3.4x,,偏弱,— 目前無買入信號,$54.2 ~ $55.3,$52.9
